contract_id,supplier_id,contract_no,category,currency,agreed_lead_time_days,payment_terms,start_date,end_date,status
CTR-000394,SUP-00469,ДОГ-3557/2024,Гидравлика,RUB,7,Отсрочка 45 дней,2024-02-11,2026-11-16,Действует
CTR-000395,SUP-00189,ДОГ-9837/2024,Металлопрокат,CNY,45,Отсрочка 30 дней,2024-02-13,2026-12-02,Действует
CTR-000396,SUP-00433,ДОГ-9662/2024,Подшипники,CNY,21,Отсрочка 45 дней,2024-03-02,2026-03-31,Действует
CTR-000397,SUP-00264,ДОГ-1494/2024,Металлопрокат,USD,10,Предоплата 100%,2024-10-24,2025-06-30,Истёк
CTR-000398,SUP-00243,ДОГ-8650/2025,ЛКМ и химия,RUB,7,Отсрочка 30 дней,2025-08-10,2025-09-11,Истёк
CTR-000399,SUP-00175,ДОГ-2840/2023,Гидравлика,RUB,10,Отсрочка 15 дней,2023-12-28,2024-12-29,Истёк
CTR-000400,SUP-00400,ДОГ-1542/2025,Подшипники,RUB,10,Предоплата 100%,2025-02-13,2026-10-26,Действует
CTR-000401,SUP-00308,ДОГ-7902/2025,Шины и диски,RUB,14,Отсрочка 45 дней,2025-04-06,2026-04-13,Действует
CTR-000402,SUP-00125,ДОГ-5146/2024,Электрооборудование,CNY,45,Предоплата 100%,2024-11-23,2026-04-18,Действует
CTR-000403,SUP-00414,ДОГ-5837/2025,Подшипники,RUB,10,Предоплата 100%,2025-05-05,2026-01-19,Действует
CTR-000404,SUP-00337,ДОГ-2474/2025,Подшипники,RUB,21,Отсрочка 15 дней,2025-01-11,2026-01-23,Действует
CTR-000405,SUP-00166,ДОГ-8394/2024,Гидравлика,RUB,10,Предоплата 100%,2024-01-04,2026-05-30,Действует
CTR-000406,SUP-00296,ДОГ-4969/2025,Гидравлика,RUB,10,Предоплата 100%,2025-03-29,2026-06-13,Действует
CTR-000407,SUP-00416,ДОГ-7961/2024,ЛКМ и химия,CNY,7,Отсрочка 45 дней,2024-11-05,2026-05-07,Действует
CTR-000408,SUP-00366,ДОГ-1266/2025,Шины и диски,USD,45,Отсрочка 15 дней,2025-03-20,2026-06-05,Действует
CTR-000409,SUP-00125,ДОГ-8401/2025,Услуги (логистика/ремонт),RUB,30,Предоплата 100%,2025-05-31,2026-09-02,Действует
CTR-000410,SUP-00166,ДОГ-3083/2025,Шины и диски,USD,7,Предоплата 100%,2025-02-07,2026-04-25,Действует
CTR-000411,SUP-00167,ДОГ-7680/2025,ЛКМ и химия,CNY,7,Предоплата 50%,2025-04-13,2026-10-11,Действует
CTR-000412,SUP-00051,ДОГ-3853/2025,Подшипники,RUB,14,Предоплата 50%,2025-08-12,2026-09-19,Действует
CTR-000413,SUP-00073,ДОГ-3110/2025,Металлопрокат,USD,21,Предоплата 50%,2025-06-15,2026-08-12,Действует
CTR-000414,SUP-00172,ДОГ-4098/2025,Электрооборудование,USD,30,Отсрочка 15 дней,2025-04-03,2026-07-18,Действует
CTR-000415,SUP-00490,ДОГ-9981/2024,Шины и диски,RUB,14,Отсрочка 45 дней,2024-06-01,2025-02-09,Истёк
CTR-000416,SUP-00395,ДОГ-9117/2025,Услуги (логистика/ремонт),CNY,10,Отсрочка 30 дней,2025-04-27,2026-09-08,Действует
CTR-000417,SUP-00166,ДОГ-5174/2025,Подшипники,RUB,30,Предоплата 100%,2025-03-14,2026-05-20,Действует
CTR-000418,SUP-00475,ДОГ-6363/2024,Шины и диски,CNY,30,Отсрочка 15 дней,2024-09-08,2026-03-03,Действует
CTR-000419,SUP-00389,ДОГ-1161/2024,Металлопрокат,RUB,7,Отсрочка 45 дней,2024-03-21,2024-12-05,Истёк
CTR-000420,SUP-00135,ДОГ-8641/2024,Гидравлика,RUB,30,Предоплата 50%,2024-02-14,2024-12-22,Истёк
CTR-000421,SUP-00382,ДОГ-1553/2024,ЛКМ и химия,CNY,7,Отсрочка 30 дней,2024-03-03,2026-05-10,Действует
CTR-000422,SUP-00097,ДОГ-9121/2024,Электрооборудование,RUB,45,Отсрочка 15 дней,2024-04-25,2026-11-04,Действует
CTR-000423,SUP-00415,ДОГ-9849/2025,Гидравлика,RUB,45,Предоплата 100%,2025-04-20,2026-11-23,Действует
CTR-000424,SUP-00168,ДОГ-5863/2024,Металлопрокат,RUB,30,Предоплата 100%,2024-06-06,2025-10-06,Истёк
CTR-000425,SUP-00481,ДОГ-6518/2024,Шины и диски,RUB,30,Отсрочка 45 дней,2024-05-28,2026-05-13,Действует
CTR-000426,SUP-00469,ДОГ-5276/2025,Гидравлика,RUB,30,Отсрочка 45 дней,2025-03-06,2026-04-09,Действует
CTR-000427,SUP-00469,ДОГ-7591/2025,Подшипники,RUB,7,Отсрочка 45 дней,2025-07-06,2026-07-22,Действует
CTR-000428,SUP-00209,ДОГ-8349/2025,Гидравлика,USD,7,Предоплата 50%,2025-01-02,2026-01-15,Действует
CTR-000429,SUP-00469,ДОГ-3505/2025,ЛКМ и химия,RUB,14,Отсрочка 45 дней,2025-03-10,2026-09-16,Действует
CTR-000430,SUP-00110,ДОГ-6209/2024,Шины и диски,RUB,45,Отсрочка 45 дней,2024-11-04,2026-04-07,Действует
CTR-000431,SUP-00081,ДОГ-9129/2024,Услуги (логистика/ремонт),USD,10,Предоплата 50%,2024-11-13,2026-02-09,Действует
CTR-000432,SUP-00324,ДОГ-2017/2024,Шины и диски,USD,7,Предоплата 50%,2024-03-10,2025-05-18,Истёк
CTR-000433,SUP-00397,ДОГ-2162/2024,Шины и диски,CNY,21,Предоплата 50%,2024-06-26,2026-07-03,Действует
CTR-000434,SUP-00080,ДОГ-5815/2025,ЛКМ и химия,RUB,21,Предоплата 50%,2025-04-09,2026-04-18,Действует
CTR-000435,SUP-00135,ДОГ-8273/2023,Гидравлика,RUB,10,Предоплата 50%,2023-12-26,2026-01-27,Действует
CTR-000436,SUP-00145,ДОГ-7775/2024,Электрооборудование,RUB,30,Предоплата 50%,2024-03-02,2026-09-11,Действует
CTR-000437,SUP-00035,ДОГ-6853/2025,Крепёж,USD,45,Отсрочка 45 дней,2025-04-21,2026-10-26,Действует
CTR-000438,SUP-00106,ДОГ-5390/2024,Электрооборудование,USD,10,Отсрочка 15 дней,2024-06-13,2026-02-23,Действует
CTR-000439,SUP-00483,ДОГ-6800/2024,Металлопрокат,RUB,14,Отсрочка 45 дней,2024-02-01,2026-10-26,Действует
CTR-000440,SUP-00264,ДОГ-5269/2024,ЛКМ и химия,CNY,21,Предоплата 100%,2024-03-15,2026-09-02,Действует
CTR-000441,SUP-00344,ДОГ-1768/2024,Услуги (логистика/ремонт),USD,7,Отсрочка 30 дней,2024-09-05,2026-08-05,Действует
CTR-000442,SUP-00025,ДОГ-6103/2024,Электрооборудование,RUB,7,Предоплата 50%,2024-01-06,2026-01-20,Действует
CTR-000443,SUP-00260,ДОГ-3451/2024,Подшипники,RUB,30,Отсрочка 15 дней,2024-01-13,2026-10-20,Действует
CTR-000444,SUP-00017,ДОГ-1653/2024,Шины и диски,CNY,14,Отсрочка 30 дней,2024-07-27,2026-04-06,Действует
CTR-000445,SUP-00449,ДОГ-1344/2025,Услуги (логистика/ремонт),CNY,30,Отсрочка 45 дней,2025-07-05,2026-10-11,Действует
CTR-000446,SUP-00009,ДОГ-2483/2025,Гидравлика,RUB,45,Предоплата 100%,2025-01-30,2026-07-06,Действует
CTR-000447,SUP-00181,ДОГ-7840/2024,Подшипники,RUB,7,Предоплата 50%,2024-07-24,2026-07-08,Действует
CTR-000448,SUP-00469,ДОГ-9243/2025,Металлопрокат,USD,21,Отсрочка 45 дней,2025-04-18,2026-03-17,Действует
CTR-000449,SUP-00021,ДОГ-3755/2025,Металлопрокат,RUB,30,Отсрочка 45 дней,2025-07-19,2025-11-23,Истёк
CTR-000450,SUP-00366,ДОГ-5622/2024,Шины и диски,RUB,7,Отсрочка 15 дней,2024-03-29,2024-12-25,Истёк
CTR-000451,SUP-00084,ДОГ-6493/2024,ЛКМ и химия,CNY,14,Отсрочка 30 дней,2024-05-22,2026-03-04,Действует
CTR-000452,SUP-00268,ДОГ-4055/2024,Крепёж,RUB,30,Отсрочка 45 дней,2024-12-11,2026-05-17,Действует
CTR-000453,SUP-00335,ДОГ-3603/2024,Подшипники,RUB,14,Предоплата 50%,2024-01-28,2024-12-24,Истёк
CTR-000454,SUP-00101,ДОГ-5466/2025,Электрооборудование,RUB,14,Предоплата 100%,2025-04-20,2026-09-29,Действует
CTR-000455,SUP-00215,ДОГ-4222/2024,Крепёж,USD,7,Отсрочка 15 дней,2024-02-22,2026-03-25,Действует
CTR-000456,SUP-00135,ДОГ-5461/2024,Гидравлика,USD,21,Предоплата 50%,2024-03-10,2026-05-18,Действует
CTR-000457,SUP-00497,ДОГ-7159/2024,Металлопрокат,RUB,10,Предоплата 100%,2024-05-09,2026-06-30,Действует
CTR-000458,SUP-00487,ДОГ-5934/2024,Металлопрокат,RUB,14,Отсрочка 45 дней,2024-05-15,2026-10-14,Действует
CTR-000459,SUP-00222,ДОГ-9469/2025,Гидравлика,RUB,14,Предоплата 50%,2025-07-16,2026-08-29,Действует
CTR-000460,SUP-00466,ДОГ-7484/2024,Шины и диски,USD,7,Предоплата 50%,2024-02-17,2026-08-04,Действует
CTR-000461,SUP-00166,ДОГ-8027/2024,ЛКМ и химия,RUB,30,Предоплата 100%,2024-05-06,2025-07-31,Истёк
CTR-000462,SUP-00264,ДОГ-1717/2024,Крепёж,RUB,7,Предоплата 100%,2024-04-27,2024-10-29,Истёк
CTR-000463,SUP-00402,ДОГ-3216/2024,Металлопрокат,CNY,14,Отсрочка 15 дней,2024-08-24,2026-07-19,Действует
CTR-000464,SUP-00154,ДОГ-8659/2024,Электрооборудование,RUB,7,Отсрочка 30 дней,2024-07-17,2026-11-01,Действует
CTR-000465,SUP-00281,ДОГ-9739/2024,Гидравлика,RUB,10,Отсрочка 30 дней,2024-07-04,2026-11-29,Действует
CTR-000466,SUP-00422,ДОГ-5837/2025,Электрооборудование,RUB,14,Отсрочка 15 дней,2025-04-13,2025-04-06,Истёк
CTR-000467,SUP-00490,ДОГ-5612/2024,ЛКМ и химия,RUB,10,Отсрочка 45 дней,2024-05-14,2026-10-26,Действует
CTR-000468,SUP-00243,ДОГ-2978/2024,Гидравлика,RUB,45,Отсрочка 30 дней,2024-05-01,2026-10-28,Действует
CTR-000469,SUP-00162,ДОГ-6409/2024,Гидравлика,USD,10,Отсрочка 15 дней,2024-07-29,2025-06-19,Истёк
CTR-000470,SUP-00422,ДОГ-9110/2025,Металлопрокат,RUB,45,Отсрочка 15 дней,2025-01-08,2026-11-25,Действует
CTR-000471,SUP-00175,ДОГ-2680/2024,Гидравлика,RUB,14,Отсрочка 15 дней,2024-01-07,2024-11-02,Истёк
CTR-000472,SUP-00261,ДОГ-3527/2024,Гидравлика,USD,7,Отсрочка 30 дней,2024-01-26,2026-08-31,Действует
CTR-000473,SUP-00051,ДОГ-1445/2024,Крепёж,RUB,10,Предоплата 50%,2024-12-21,2026-07-19,Действует
CTR-000474,SUP-00352,ДОГ-2477/2024,Гидравлика,USD,7,Отсрочка 30 дней,2024-03-04,2026-12-05,Действует
CTR-000475,SUP-00145,ДОГ-2013/2024,Электрооборудование,RUB,10,Предоплата 50%,2024-02-19,2026-11-02,Действует
CTR-000476,SUP-00117,ДОГ-6039/2024,Услуги (логистика/ремонт),CNY,14,Отсрочка 45 дней,2024-03-11,2026-06-30,Действует
CTR-000477,SUP-00032,ДОГ-4502/2025,Крепёж,RUB,45,Отсрочка 30 дней,2025-01-13,2026-07-20,Действует
CTR-000478,SUP-00469,ДОГ-3017/2025,Крепёж,CNY,45,Отсрочка 45 дней,2025-04-17,2026-09-06,Действует
CTR-000479,SUP-00283,ДОГ-7629/2025,Шины и диски,USD,14,Предоплата 100%,2025-02-05,2025-07-14,Истёк
CTR-000480,SUP-00169,ДОГ-9108/2024,ЛКМ и химия,CNY,21,Предоплата 100%,2024-04-30,2026-06-28,Действует
CTR-000481,SUP-00172,ДОГ-4043/2024,Шины и диски,USD,21,Отсрочка 15 дней,2024-01-02,2026-02-08,Действует
CTR-000482,SUP-00400,ДОГ-2642/2024,Подшипники,RUB,7,Предоплата 100%,2024-03-25,2026-01-17,Действует
CTR-000483,SUP-00294,ДОГ-3353/2025,Услуги (логистика/ремонт),RUB,45,Отсрочка 45 дней,2025-03-12,2026-05-16,Действует
CTR-000484,SUP-00051,ДОГ-4048/2025,Подшипники,RUB,10,Предоплата 50%,2025-07-27,2026-08-18,Действует
CTR-000485,SUP-00397,ДОГ-4061/2025,ЛКМ и химия,RUB,21,Предоплата 50%,2025-02-02,2026-11-13,Действует
CTR-000486,SUP-00208,ДОГ-4667/2024,Электрооборудование,RUB,7,Предоплата 50%,2024-08-24,2025-09-24,Истёк
CTR-000487,SUP-00051,ДОГ-1002/2024,Крепёж,USD,30,Предоплата 50%,2024-06-29,2026-05-22,Действует
CTR-000488,SUP-00076,ДОГ-4480/2024,ЛКМ и химия,USD,45,Предоплата 50%,2024-06-22,2026-03-25,Действует
CTR-000489,SUP-00035,ДОГ-8917/2025,Электрооборудование,RUB,7,Отсрочка 45 дней,2025-06-15,2025-12-10,Истёк
CTR-000490,SUP-00154,ДОГ-1943/2024,Услуги (логистика/ремонт),RUB,21,Отсрочка 30 дней,2024-09-26,2026-08-01,Действует
CTR-000491,SUP-00273,ДОГ-3036/2024,Металлопрокат,RUB,45,Отсрочка 30 дней,2024-03-06,2026-05-07,Действует
CTR-000492,SUP-00414,ДОГ-4019/2024,Гидравлика,RUB,10,Предоплата 100%,2024-10-12,2026-04-03,Действует
CTR-000493,SUP-00227,ДОГ-7785/2025,Металлопрокат,USD,21,Отсрочка 30 дней,2025-04-17,2026-06-10,Действует
CTR-000494,SUP-00466,ДОГ-1056/2025,Шины и диски,CNY,14,Предоплата 50%,2025-04-28,2025-05-02,Истёк
CTR-000495,SUP-00027,ДОГ-3776/2025,ЛКМ и химия,RUB,45,Предоплата 100%,2025-01-16,2026-06-23,Действует
CTR-000496,SUP-00135,ДОГ-1878/2024,Подшипники,USD,14,Предоплата 50%,2024-02-02,2026-06-15,Действует
CTR-000497,SUP-00014,ДОГ-9295/2025,Подшипники,USD,21,Отсрочка 45 дней,2025-03-14,2026-07-20,Действует
CTR-000498,SUP-00175,ДОГ-3619/2025,Металлопрокат,RUB,10,Отсрочка 15 дней,2025-01-09,2025-05-08,Истёк
CTR-000499,SUP-00370,ДОГ-7611/2024,ЛКМ и химия,USD,45,Предоплата 100%,2024-07-08,2026-07-15,Действует
CTR-000500,SUP-00035,ДОГ-8957/2025,Шины и диски,RUB,30,Отсрочка 45 дней,2025-08-04,2026-11-14,Действует
CTR-000501,SUP-00461,ДОГ-9874/2025,ЛКМ и химия,CNY,7,Отсрочка 15 дней,2025-08-01,2026-12-15,Действует
CTR-000502,SUP-00117,ДОГ-6160/2025,Электрооборудование,RUB,14,Отсрочка 45 дней,2025-05-27,2026-11-27,Действует
CTR-000503,SUP-00294,ДОГ-5859/2024,Шины и диски,RUB,10,Отсрочка 45 дней,2024-07-25,2025-04-04,Истёк
CTR-000504,SUP-00388,ДОГ-3571/2024,Крепёж,RUB,14,Отсрочка 30 дней,2024-09-14,2026-03-06,Действует
CTR-000505,SUP-00298,ДОГ-1066/2025,Крепёж,RUB,45,Предоплата 50%,2025-07-23,2026-07-11,Действует
CTR-000506,SUP-00193,ДОГ-9700/2024,ЛКМ и химия,USD,14,Предоплата 100%,2024-06-10,2025-02-15,Истёк
CTR-000507,SUP-00067,ДОГ-9257/2024,Услуги (логистика/ремонт),RUB,30,Отсрочка 15 дней,2024-06-08,2026-09-07,Действует
CTR-000508,SUP-00399,ДОГ-4359/2025,Услуги (логистика/ремонт),CNY,45,Предоплата 100%,2025-06-16,2025-10-10,Истёк
CTR-000509,SUP-00264,ДОГ-5753/2025,Крепёж,USD,30,Предоплата 100%,2025-05-03,2026-10-20,Действует
CTR-000510,SUP-00025,ДОГ-7063/2024,Гидравлика,RUB,21,Предоплата 50%,2024-03-13,2026-05-24,Действует
CTR-000511,SUP-00390,ДОГ-7412/2025,Металлопрокат,RUB,30,Отсрочка 15 дней,2025-08-05,2026-12-04,Действует
CTR-000512,SUP-00175,ДОГ-4158/2025,Шины и диски,RUB,30,Отсрочка 15 дней,2025-03-24,2026-08-05,Действует
CTR-000513,SUP-00422,ДОГ-1830/2025,Металлопрокат,CNY,10,Отсрочка 15 дней,2025-03-25,2026-03-16,Действует
CTR-000514,SUP-00175,ДОГ-7859/2025,Электрооборудование,RUB,14,Отсрочка 15 дней,2025-01-22,2026-03-05,Действует
CTR-000515,SUP-00384,ДОГ-9179/2025,Гидравлика,RUB,14,Отсрочка 30 дней,2025-05-27,2025-06-28,Истёк
CTR-000516,SUP-00395,ДОГ-5174/2024,Услуги (логистика/ремонт),USD,14,Отсрочка 30 дней,2024-12-27,2026-04-12,Действует
CTR-000517,SUP-00006,ДОГ-9536/2024,Гидравлика,CNY,10,Отсрочка 15 дней,2024-02-17,2026-07-05,Действует
CTR-000518,SUP-00135,ДОГ-6781/2024,ЛКМ и химия,RUB,7,Предоплата 50%,2024-02-22,2026-07-28,Действует
CTR-000519,SUP-00064,ДОГ-8738/2024,ЛКМ и химия,RUB,10,Отсрочка 15 дней,2024-09-13,2026-10-03,Действует
CTR-000520,SUP-00400,ДОГ-7976/2024,Металлопрокат,CNY,10,Предоплата 100%,2024-07-19,2026-10-14,Действует
CTR-000521,SUP-00414,ДОГ-1325/2025,Шины и диски,USD,10,Предоплата 100%,2025-04-20,2026-09-02,Действует
CTR-000522,SUP-00024,ДОГ-9399/2024,Гидравлика,RUB,10,Предоплата 100%,2024-10-26,2026-05-02,Действует
CTR-000523,SUP-00024,ДОГ-4659/2024,Металлопрокат,CNY,14,Предоплата 100%,2024-11-30,2026-10-14,Действует
CTR-000524,SUP-00389,ДОГ-8098/2024,Крепёж,CNY,21,Отсрочка 45 дней,2024-07-30,2026-01-20,Действует
CTR-000525,SUP-00294,ДОГ-6515/2025,Подшипники,CNY,14,Отсрочка 45 дней,2025-08-06,2026-10-09,Действует
CTR-000526,SUP-00044,ДОГ-1215/2024,ЛКМ и химия,RUB,7,Отсрочка 15 дней,2024-12-31,2026-10-10,Действует
CTR-000527,SUP-00202,ДОГ-5901/2024,Металлопрокат,CNY,14,Предоплата 100%,2024-12-22,2026-09-22,Действует
CTR-000528,SUP-00232,ДОГ-6517/2024,Металлопрокат,RUB,45,Предоплата 50%,2024-08-10,2026-01-23,Действует
CTR-000529,SUP-00490,ДОГ-5428/2023,Подшипники,RUB,10,Отсрочка 45 дней,2023-12-27,2026-05-22,Действует
CTR-000530,SUP-00481,ДОГ-6441/2024,ЛКМ и химия,CNY,7,Отсрочка 45 дней,2024-12-22,2026-03-26,Действует
CTR-000531,SUP-00205,ДОГ-8209/2024,Услуги (логистика/ремонт),USD,14,Предоплата 50%,2024-11-09,2026-03-04,Действует
CTR-000532,SUP-00255,ДОГ-6058/2025,Крепёж,CNY,21,Отсрочка 15 дней,2025-04-10,2026-04-10,Действует
CTR-000533,SUP-00384,ДОГ-9552/2025,Подшипники,CNY,14,Отсрочка 30 дней,2025-06-13,2026-09-27,Действует
CTR-000534,SUP-00399,ДОГ-2737/2025,Гидравлика,RUB,10,Предоплата 100%,2025-06-10,2026-06-27,Действует
CTR-000535,SUP-00327,ДОГ-1510/2024,Электрооборудование,CNY,21,Отсрочка 30 дней,2024-08-07,2025-04-30,Истёк
CTR-000536,SUP-00379,ДОГ-5792/2024,Шины и диски,RUB,21,Предоплата 50%,2024-10-07,2026-09-17,Действует
CTR-000537,SUP-00080,ДОГ-4500/2023,Крепёж,RUB,7,Предоплата 50%,2023-12-28,2026-11-12,Действует
CTR-000538,SUP-00490,ДОГ-3450/2025,ЛКМ и химия,RUB,21,Отсрочка 45 дней,2025-06-20,2026-09-27,Действует
CTR-000539,SUP-00414,ДОГ-9990/2024,Металлопрокат,USD,10,Предоплата 100%,2024-12-08,2026-11-28,Действует
CTR-000540,SUP-00105,ДОГ-2950/2025,Услуги (логистика/ремонт),CNY,30,Предоплата 50%,2025-04-10,2026-09-13,Действует
CTR-000541,SUP-00473,ДОГ-8725/2024,Металлопрокат,RUB,45,Отсрочка 45 дней,2024-01-22,2024-10-05,Истёк
CTR-000542,SUP-00411,ДОГ-8340/2025,Металлопрокат,CNY,14,Предоплата 50%,2025-03-08,2025-03-12,Истёк
CTR-000543,SUP-00408,ДОГ-2156/2025,Услуги (логистика/ремонт),USD,21,Предоплата 50%,2025-03-27,2026-07-17,Действует
CTR-000544,SUP-00145,ДОГ-9860/2024,Металлопрокат,USD,45,Предоплата 50%,2024-07-20,2026-10-19,Действует
CTR-000545,SUP-00089,ДОГ-6249/2025,Услуги (логистика/ремонт),CNY,7,Предоплата 100%,2025-06-04,2026-02-16,Действует
CTR-000546,SUP-00266,ДОГ-7399/2024,Подшипники,USD,30,Предоплата 50%,2024-10-30,2026-11-21,Действует
CTR-000547,SUP-00089,ДОГ-4364/2024,Металлопрокат,RUB,7,Предоплата 100%,2024-09-20,2026-08-12,Действует
CTR-000548,SUP-00359,ДОГ-7539/2025,Крепёж,RUB,7,Отсрочка 45 дней,2025-02-06,2026-11-13,Действует
CTR-000549,SUP-00469,ДОГ-9965/2024,Крепёж,RUB,30,Отсрочка 45 дней,2024-01-23,2025-06-09,Истёк
CTR-000550,SUP-00328,ДОГ-9368/2025,Подшипники,RUB,45,Отсрочка 30 дней,2025-06-30,2026-09-20,Действует
CTR-000551,SUP-00414,ДОГ-1600/2024,Крепёж,RUB,21,Предоплата 100%,2024-01-02,2026-11-15,Действует
CTR-000552,SUP-00291,ДОГ-3358/2024,Гидравлика,CNY,30,Отсрочка 15 дней,2024-08-06,2026-11-11,Действует
CTR-000553,SUP-00430,ДОГ-8154/2024,ЛКМ и химия,CNY,21,Отсрочка 30 дней,2024-08-11,2025-03-28,Истёк
CTR-000554,SUP-00456,ДОГ-6372/2024,Услуги (логистика/ремонт),CNY,30,Отсрочка 30 дней,2024-08-30,2026-09-22,Действует
CTR-000555,SUP-00175,ДОГ-6543/2025,Электрооборудование,USD,7,Отсрочка 15 дней,2025-06-09,2025-09-08,Истёк
CTR-000556,SUP-00400,ДОГ-4572/2025,Крепёж,RUB,14,Предоплата 100%,2025-03-22,2026-04-11,Действует
CTR-000557,SUP-00155,ДОГ-8208/2024,Металлопрокат,RUB,10,Предоплата 100%,2024-02-07,2025-07-05,Истёк
CTR-000558,SUP-00324,ДОГ-9463/2025,ЛКМ и химия,RUB,14,Предоплата 50%,2025-06-15,2026-08-13,Действует
CTR-000559,SUP-00023,ДОГ-2250/2025,ЛКМ и химия,RUB,14,Предоплата 100%,2025-01-05,2026-03-21,Действует
CTR-000560,SUP-00427,ДОГ-3496/2024,Шины и диски,RUB,7,Предоплата 50%,2024-02-16,2025-07-13,Истёк
CTR-000561,SUP-00084,ДОГ-7447/2025,Крепёж,RUB,30,Отсрочка 30 дней,2025-06-26,2026-12-01,Действует
CTR-000562,SUP-00321,ДОГ-3328/2025,Шины и диски,RUB,45,Отсрочка 45 дней,2025-03-31,2026-08-09,Действует
CTR-000563,SUP-00123,ДОГ-8750/2025,ЛКМ и химия,RUB,10,Предоплата 100%,2025-03-06,2026-08-12,Действует
CTR-000564,SUP-00414,ДОГ-2087/2025,Гидравлика,RUB,10,Предоплата 100%,2025-03-03,2025-12-03,Истёк
CTR-000565,SUP-00296,ДОГ-4412/2025,Крепёж,RUB,30,Предоплата 100%,2025-04-30,2026-09-30,Действует
CTR-000566,SUP-00472,ДОГ-3413/2025,Услуги (логистика/ремонт),RUB,7,Предоплата 50%,2025-01-03,2026-04-06,Действует
CTR-000567,SUP-00238,ДОГ-2453/2025,Электрооборудование,CNY,14,Предоплата 50%,2025-07-20,2026-05-02,Действует
CTR-000568,SUP-00457,ДОГ-4713/2024,Подшипники,RUB,7,Отсрочка 45 дней,2024-11-01,2026-05-10,Действует
CTR-000569,SUP-00166,ДОГ-5166/2025,Шины и диски,CNY,21,Предоплата 100%,2025-01-10,2026-11-30,Действует
CTR-000570,SUP-00400,ДОГ-5778/2024,Гидравлика,USD,45,Предоплата 100%,2024-01-19,2025-03-12,Истёк
CTR-000571,SUP-00116,ДОГ-6844/2024,ЛКМ и химия,RUB,45,Отсрочка 15 дней,2024-06-23,2026-12-03,Действует
CTR-000572,SUP-00223,ДОГ-6516/2024,Металлопрокат,RUB,10,Предоплата 100%,2024-04-21,2026-01-15,Действует
CTR-000573,SUP-00035,ДОГ-5696/2024,Крепёж,RUB,14,Отсрочка 45 дней,2024-03-31,2026-02-19,Действует
CTR-000574,SUP-00414,ДОГ-5180/2025,Шины и диски,USD,21,Предоплата 100%,2025-04-30,2026-05-12,Действует
CTR-000575,SUP-00135,ДОГ-9782/2024,Гидравлика,RUB,45,Предоплата 50%,2024-05-05,2026-03-19,Действует
CTR-000576,SUP-00320,ДОГ-3483/2024,Гидравлика,RUB,45,Отсрочка 45 дней,2024-08-29,2026-01-28,Действует
CTR-000577,SUP-00021,ДОГ-2909/2025,Шины и диски,USD,21,Отсрочка 45 дней,2025-08-16,2026-08-27,Действует
CTR-000578,SUP-00193,ДОГ-7780/2024,Гидравлика,RUB,7,Предоплата 100%,2024-04-30,2026-08-14,Действует
CTR-000579,SUP-00055,ДОГ-3849/2024,Металлопрокат,RUB,10,Отсрочка 45 дней,2024-11-10,2025-07-25,Истёк
CTR-000580,SUP-00051,ДОГ-1649/2024,Крепёж,RUB,45,Предоплата 50%,2024-08-07,2026-10-19,Действует
CTR-000581,SUP-00181,ДОГ-8999/2025,Электрооборудование,CNY,45,Предоплата 50%,2025-03-03,2026-08-17,Действует
CTR-000582,SUP-00013,ДОГ-3453/2025,ЛКМ и химия,RUB,21,Предоплата 100%,2025-04-24,2026-06-30,Действует
CTR-000583,SUP-00046,ДОГ-5019/2024,Электрооборудование,RUB,21,Отсрочка 45 дней,2024-10-21,2026-05-02,Действует
CTR-000584,SUP-00139,ДОГ-3295/2025,Гидравлика,RUB,7,Отсрочка 45 дней,2025-02-02,2026-06-20,Действует
CTR-000585,SUP-00264,ДОГ-4574/2024,Крепёж,CNY,30,Предоплата 100%,2024-09-03,2026-07-27,Действует
CTR-000586,SUP-00399,ДОГ-6486/2024,Электрооборудование,CNY,10,Предоплата 100%,2024-12-25,2026-11-23,Действует
CTR-000587,SUP-00322,ДОГ-2518/2025,ЛКМ и химия,CNY,7,Предоплата 50%,2025-05-06,2026-10-18,Действует
CTR-000588,SUP-00020,ДОГ-6480/2025,Электрооборудование,RUB,45,Предоплата 100%,2025-07-08,2026-06-18,Действует
CTR-000589,SUP-00382,ДОГ-7542/2024,Услуги (логистика/ремонт),RUB,10,Отсрочка 30 дней,2024-07-26,2026-05-24,Действует
CTR-000590,SUP-00255,ДОГ-8681/2025,Шины и диски,RUB,7,Отсрочка 15 дней,2025-06-26,2026-06-16,Действует
CTR-000591,SUP-00114,ДОГ-7124/2024,Услуги (логистика/ремонт),RUB,30,Предоплата 50%,2024-12-29,2026-02-25,Действует
CTR-000592,SUP-00414,ДОГ-8503/2024,Услуги (логистика/ремонт),CNY,14,Предоплата 100%,2024-05-26,2026-05-27,Действует
CTR-000593,SUP-00094,ДОГ-6279/2024,ЛКМ и химия,RUB,21,Отсрочка 30 дней,2024-05-11,2026-01-21,Действует
CTR-000594,SUP-00229,ДОГ-1848/2025,Электрооборудование,CNY,7,Отсрочка 30 дней,2025-03-15,2026-04-23,Действует
CTR-000595,SUP-00034,ДОГ-6112/2025,Шины и диски,CNY,7,Отсрочка 30 дней,2025-06-26,2025-11-01,Истёк
CTR-000596,SUP-00151,ДОГ-9763/2024,Гидравлика,RUB,45,Отсрочка 45 дней,2024-03-01,2026-09-17,Действует
